coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r1169_c1152,89,30,115,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c1152_merged_mask_info.csv
r1169_c128,91,36,118,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c128_merged_mask_info.csv
r1169_c1664,76,27,97,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c1664_merged_mask_info.csv
r1169_c2176,83,29,109,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c2176_merged_mask_info.csv
r1169_c2688,5,17,11,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c2688_merged_mask_info.csv
r1169_c640,52,31,53,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1169_c640_merged_mask_info.csv
r1681_c1152,71,30,98,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c1152_merged_mask_info.csv
r1681_c128,87,39,122,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c128_merged_mask_info.csv
r1681_c1664,80,22,97,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c1664_merged_mask_info.csv
r1681_c2176,53,21,71,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c2176_merged_mask_info.csv
r1681_c2688,52,19,56,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c2688_merged_mask_info.csv
r1681_c640,59,40,94,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r1681_c640_merged_mask_info.csv
r2193_c1152,96,25,120,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c1152_merged_mask_info.csv
r2193_c128,74,38,108,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c128_merged_mask_info.csv
r2193_c1664,69,16,79,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c1664_merged_mask_info.csv
r2193_c2176,0,21,21,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c2176_merged_mask_info.csv
r2193_c2688,0,5,5,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c2688_merged_mask_info.csv
r2193_c640,0,33,33,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2193_c640_merged_mask_info.csv
r2705_c1152,0,20,20,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c1152_merged_mask_info.csv
r2705_c128,0,15,15,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c128_merged_mask_info.csv
r2705_c1664,0,18,18,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c1664_merged_mask_info.csv
r2705_c2176,0,30,30,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c2176_merged_mask_info.csv
r2705_c2688,0,9,9,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c2688_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c2688_merged_mask_info.csv
r2705_c640,0,24,24,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r2705_c640_merged_mask_info.csv
r657_c1152,0,37,37,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c1152_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c1152_merged_mask_info.csv
r657_c128,0,35,35,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c128_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c128_merged_mask_info.csv
r657_c1664,0,35,35,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c1664_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c1664_merged_mask_info.csv
r657_c2176,0,21,21,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c2176_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c2176_merged_mask_info.csv
r657_c640,0,37,37,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c640_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Breast_Cancer_Fresh_Frozen//maskann_size-512/sam2_merged_masks/r657_c640_merged_mask_info.csv
